"","Station","WinterMeanNH4","WinterMeanNO2","WinterMeanNO3","WinterMeanDIN"
"1","ADM001",0.61075625,0.273147916666667,22.6145604166667,23.4984645833333
"2","ADM002",0.49032,0.267710909090909,23.7894545454545,24.5474854545455
"3","ADM003",0.534808163265306,0.268779591836735,22.7200918367347,23.5236795918367
"4","BLL009",1.54664473684211,0.299605263157895,21.3390157894737,23.1852657894737
"5","BLL040",0.8579375,0.2869625,21.89793125,23.04283125
"6","BUD002",3.48,0.4806,20.357,24.3176
"7","BUD005",1.94689090909091,0.450983636363636,22.6242236363636,25.0220981818182
"8","CMB003",0.732742592592593,0.288085185185185,25.1582111111111,26.1790388888889
"9","CMB006",3.9104,0.33145,26.64345,30.8853
"10","CRR001",0.440203571428571,0.2828875,23.4971589285714,24.22025
"11","CSE001",0.822691071428571,0.389310714285714,22.0422285714286,23.2542303571429
"12","DNA001",0.953373333333333,0.400165,22.76071,24.1142483333333
"13","DYE004",1.64433333333333,0.348016666666667,21.6979333333333,23.6902833333333
"14","EAG001",0.76205,0.315216666666667,21.1013166666667,22.1785833333333
"15","EAP001",0.38411568627451,0.231652941176471,23.8150941176471,24.430862745098
"16","ELB015",0.423007407407407,0.22812962962963,24.4689981481481,25.1201351851852
"17","ELD001",1.2718,0.398471428571429,22.7353,24.4055714285714
"18","FID001",1.2995,0.33,23.49,25.1195
"19","GOR001",0.466343103448276,0.310787931034483,24.3130275862069,25.0901586206897
"20","GRG002",0.464178048780488,0.200551219512195,23.5976487804878,24.2623780487805
"21","HCB003",0.333587719298246,0.194552631578947,22.6927736842105,23.2209140350877
"22","HCB004",0.397039215686274,0.234209803921569,24.4153901960784,25.0466392156863
"23","HCB007",1.22967916666667,0.366391666666667,22.5905208333333,24.1865916666667
"24","HCB010",0.324366071428571,0.195925,21.3771964285714,21.8974875
"25","HCB013",0.73007,0.32788,16.6856,17.74355
"26","NSQ002",0.701456666666667,0.37384,23.9226516666667,24.9979483333333
"27","OAK004",1.8221568627451,0.355766666666667,18.7097941176471,20.8877176470588
"28","OCH014",2.344,0.473425,16.1468,18.964225
"29","PGA001",2.51841666666667,0.47955,20.55185,23.5498166666667
"30","PMA001",1.20196666666667,0.373183333333333,23.4182,24.99335
"31","PSB003",0.658915094339623,0.301207547169811,24.7863943396226,25.7465169811321
"32","PSS019",0.646538775510204,0.202520408163265,23.6624,24.5114591836735
"33","PTH005",0.819392,0.316188,22.287326,23.422906
"34","RSR837",0.542389795918367,0.229416326530612,24.518012244898,25.2898183673469
"35","SAR003",0.59351914893617,0.208991489361702,23.6164,24.4189106382979
"36","SEQ002",3.653,0.4465,13.9925,18.092
"37","SIN001",2.57535098039216,0.417294117647059,21.6498705882353,24.6425156862745
"38","SKG003",0.907411904761905,0.243721428571429,23.2359833333333,24.3871166666667
"39","TOT001",1.41684444444444,0.421588888888889,22.5697555555556,24.4081888888889
"40","TOT002",2.2092,0.43,18.9452,21.5844
